Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250521-125614,c_20250521-125614.jpg,p_20250521-125614.jpg,18.84,15.22
20250521-125625,c_20250521-125625.jpg,p_20250521-125625.jpg,11.45,16.88
20250521-125638,c_20250521-125638.jpg,p_20250521-125638.jpg,46.38,34.78
20250521-125648,c_20250521-125648.jpg,p_20250521-125648.jpg,46.38,34.78
20250521-125659,c_20250521-125659.jpg,p_20250521-125659.jpg,38.12,27.61
20250521-125712,c_20250521-125712.jpg,p_20250521-125712.jpg,21.52,28.70
20250521-125722,c_20250521-125722.jpg,p_20250521-125722.jpg,31.67,30.51
20250521-125733,c_20250521-125733.jpg,p_20250521-125733.jpg,34.57,31.23
20250521-125756,c_20250521-125756.jpg,p_20250521-125756.jpg,14.86,7.68
20250521-125807,c_20250521-125807.jpg,p_20250521-125807.jpg,24.93,13.48
20250521-125820,c_20250521-125820.jpg,p_20250521-125820.jpg,9.71,17.61
20250521-125904,c_20250521-125904.jpg,p_20250521-125904.jpg,9.71,5.51
20250521-125949,c_20250521-125949.jpg,p_20250521-125949.jpg,7.61,6.74
20250521-130135,c_20250521-130135.jpg,p_20250521-130135.jpg,3.19,1.74
20250521-130149,c_20250521-130149.jpg,p_20250521-130149.jpg,3.70,2.03
20250521-130159,c_20250521-130159.jpg,p_20250521-130159.jpg,2.75,1.67
20250521-130524,c_20250521-130524.jpg,p_20250521-130524.jpg,8.55,3.55
20250521-130534,c_20250521-130534.jpg,p_20250521-130534.jpg,7.03,7.32
20250521-130547,c_20250521-130547.jpg,p_20250521-130547.jpg,10.22,19.06
20250521-130558,c_20250521-130558.jpg,p_20250521-130558.jpg,4.57,4.42
20250521-130632,c_20250521-130632.jpg,p_20250521-130632.jpg,4.20,13.41
20250521-130643,c_20250521-130643.jpg,p_20250521-130643.jpg,3.70,8.04
20250521-130656,c_20250521-130656.jpg,p_20250521-130656.jpg,4.20,14.06
20250521-130707,c_20250521-130707.jpg,p_20250521-130707.jpg,6.09,16.45
20250521-130740,c_20250521-130740.jpg,p_20250521-130740.jpg,6.16,11.23
20250521-130751,c_20250521-130751.jpg,p_20250521-130751.jpg,6.88,19.13
20250521-130804,c_20250521-130804.jpg,p_20250521-130804.jpg,3.84,12.83
20250521-130815,c_20250521-130815.jpg,p_20250521-130815.jpg,3.99,8.19
20250521-130826,c_20250521-130826.jpg,p_20250521-130826.jpg,3.48,12.97
20250521-130838,c_20250521-130838.jpg,p_20250521-130838.jpg,18.33,8.84
20250521-130849,c_20250521-130849.jpg,p_20250521-130849.jpg,8.70,13.70
20250521-130900,c_20250521-130900.jpg,p_20250521-130900.jpg,27.17,27.17
20250521-130913,c_20250521-130913.jpg,p_20250521-130913.jpg,7.54,6.74
20250521-130923,c_20250521-130923.jpg,p_20250521-130923.jpg,21.96,16.01
20250521-130934,c_20250521-130934.jpg,p_20250521-130934.jpg,22.03,15.72
20250521-130947,c_20250521-130947.jpg,p_20250521-130947.jpg,22.03,15.72
20250521-130957,c_20250521-130957.jpg,p_20250521-130957.jpg,22.03,16.01
20250521-131008,c_20250521-131008.jpg,p_20250521-131008.jpg,22.03,15.80
20250521-131021,c_20250521-131021.jpg,p_20250521-131021.jpg,22.03,15.80
20250521-131031,c_20250521-131031.jpg,p_20250521-131031.jpg,22.03,15.87
20250521-131042,c_20250521-131042.jpg,p_20250521-131042.jpg,22.03,15.87
20250521-131055,c_20250521-131055.jpg,p_20250521-131055.jpg,22.03,15.87
20250521-131106,c_20250521-131106.jpg,p_20250521-131106.jpg,22.03,15.87
20250521-131116,c_20250521-131116.jpg,p_20250521-131116.jpg,22.03,15.87
20250521-131129,c_20250521-131129.jpg,p_20250521-131129.jpg,22.03,15.87
20250521-131140,c_20250521-131140.jpg,p_20250521-131140.jpg,22.03,15.87
20250521-131150,c_20250521-131150.jpg,p_20250521-131150.jpg,22.03,15.94
20250521-131203,c_20250521-131203.jpg,p_20250521-131203.jpg,7.54,6.88
20250521-131214,c_20250521-131214.jpg,p_20250521-131214.jpg,7.54,6.88
20250521-131224,c_20250521-131224.jpg,p_20250521-131224.jpg,22.03,15.87
20250521-131237,c_20250521-131237.jpg,p_20250521-131237.jpg,7.54,6.96
20250521-131248,c_20250521-131248.jpg,p_20250521-131248.jpg,7.97,7.03
20250521-131259,c_20250521-131259.jpg,p_20250521-131259.jpg,7.68,7.03
20250521-131311,c_20250521-131311.jpg,p_20250521-131311.jpg,7.54,7.03
20250521-131322,c_20250521-131322.jpg,p_20250521-131322.jpg,22.03,16.01
20250521-131333,c_20250521-131333.jpg,p_20250521-131333.jpg,22.03,16.01
20250521-131344,c_20250521-131344.jpg,p_20250521-131344.jpg,17.46,15.80
20250521-131355,c_20250521-131355.jpg,p_20250521-131355.jpg,15.65,7.10
20250521-131405,c_20250521-131405.jpg,p_20250521-131405.jpg,7.54,7.10
20250521-131416,c_20250521-131416.jpg,p_20250521-131416.jpg,7.54,7.10
20250521-131428,c_20250521-131428.jpg,p_20250521-131428.jpg,22.03,16.01
20250521-131439,c_20250521-131439.jpg,p_20250521-131439.jpg,17.46,15.14
20250521-131449,c_20250521-131449.jpg,p_20250521-131449.jpg,7.46,7.17
20250521-131502,c_20250521-131502.jpg,p_20250521-131502.jpg,22.10,16.09
20250521-131512,c_20250521-131512.jpg,p_20250521-131512.jpg,22.10,16.01
20250521-131523,c_20250521-131523.jpg,p_20250521-131523.jpg,7.61,7.25
20250521-131534,c_20250521-131534.jpg,p_20250521-131534.jpg,7.54,7.25
20250521-131548,c_20250521-131548.jpg,p_20250521-131548.jpg,7.46,7.32
20250521-131559,c_20250521-131559.jpg,p_20250521-131559.jpg,17.54,15.22
20250521-131609,c_20250521-131609.jpg,p_20250521-131609.jpg,17.54,15.87
20250521-131622,c_20250521-131622.jpg,p_20250521-131622.jpg,22.10,16.09
20250521-131633,c_20250521-131633.jpg,p_20250521-131633.jpg,17.54,15.14
20250521-131644,c_20250521-131644.jpg,p_20250521-131644.jpg,18.55,16.16
20250521-131656,c_20250521-131656.jpg,p_20250521-131656.jpg,7.46,7.32
20250521-131707,c_20250521-131707.jpg,p_20250521-131707.jpg,18.55,15.65
20250521-131718,c_20250521-131718.jpg,p_20250521-131718.jpg,18.55,15.58
