Timestamp,Captured Image,Processed Image,Width (mm),Height (mm)
20250602_113002,c_20250602_113002.jpg,p_20250602_113002.jpg,50.67,29.17
20250602_113951,c_20250602_113951.jpg,p_20250602_113951.jpg,45.08,27.33
20250602_113956,c_20250602_113956.jpg,p_20250602_113956.jpg,49.25,28.17
20250602_114023,c_20250602_114023.jpg,p_20250602_114023.jpg,51.04,29.39
20250602-123553,c_20250602-123553.jpg,p_20250602-123553.jpg,7.04,11.91
20250602-123609,c_20250602-123609.jpg,p_20250602-123609.jpg,25.74,41.74
20250602-123624,c_20250602-123624.jpg,p_20250602-123624.jpg,28.26,41.74
20250602-123640,c_20250602-123640.jpg,p_20250602-123640.jpg,41.83,41.74
20250602-123656,c_20250602-123656.jpg,p_20250602-123656.jpg,46.09,41.74
20250602-123712,c_20250602-123712.jpg,p_20250602-123712.jpg,55.65,41.74
20250602-123727,c_20250602-123727.jpg,p_20250602-123727.jpg,55.65,41.74
20250602-123744,c_20250602-123744.jpg,p_20250602-123744.jpg,55.65,41.74
20250602-123800,c_20250602-123800.jpg,p_20250602-123800.jpg,55.65,41.74
20250602-123815,c_20250602-123815.jpg,p_20250602-123815.jpg,55.65,41.74
20250602-123831,c_20250602-123831.jpg,p_20250602-123831.jpg,55.65,41.74
20250602-123847,c_20250602-123847.jpg,p_20250602-123847.jpg,55.65,41.74
20250602-123902,c_20250602-123902.jpg,p_20250602-123902.jpg,55.65,41.74
20250602-123918,c_20250602-123918.jpg,p_20250602-123918.jpg,55.65,41.74
20250602-123934,c_20250602-123934.jpg,p_20250602-123934.jpg,55.65,41.74
20250602-123950,c_20250602-123950.jpg,p_20250602-123950.jpg,55.65,41.74
20250602-124005,c_20250602-124005.jpg,p_20250602-124005.jpg,55.65,41.74
20250602-124021,c_20250602-124021.jpg,p_20250602-124021.jpg,55.65,41.74
20250602-124037,c_20250602-124037.jpg,p_20250602-124037.jpg,55.65,41.74
20250602-124053,c_20250602-124053.jpg,p_20250602-124053.jpg,55.65,41.74
20250602-124109,c_20250602-124109.jpg,p_20250602-124109.jpg,50.70,41.74
20250602-124124,c_20250602-124124.jpg,p_20250602-124124.jpg,51.48,41.39
20250602-124140,c_20250602-124140.jpg,p_20250602-124140.jpg,39.83,37.04
20250602-124156,c_20250602-124156.jpg,p_20250602-124156.jpg,55.65,36.35
20250602-124212,c_20250602-124212.jpg,p_20250602-124212.jpg,55.65,41.30
20250602-124228,c_20250602-124228.jpg,p_20250602-124228.jpg,36.87,41.74
20250602-124243,c_20250602-124243.jpg,p_20250602-124243.jpg,41.13,39.83
20250602-124259,c_20250602-124259.jpg,p_20250602-124259.jpg,36.09,39.48
20250602-124315,c_20250602-124315.jpg,p_20250602-124315.jpg,24.61,31.30
20250602-124331,c_20250602-124331.jpg,p_20250602-124331.jpg,55.65,41.74
20250602-124347,c_20250602-124347.jpg,p_20250602-124347.jpg,55.65,41.74
20250602-124402,c_20250602-124402.jpg,p_20250602-124402.jpg,55.30,41.74
20250602-124418,c_20250602-124418.jpg,p_20250602-124418.jpg,53.65,41.74
20250602-124434,c_20250602-124434.jpg,p_20250602-124434.jpg,55.65,41.74
20250602-124450,c_20250602-124450.jpg,p_20250602-124450.jpg,44.61,41.74
20250602-124506,c_20250602-124506.jpg,p_20250602-124506.jpg,55.65,41.74
20250602-124522,c_20250602-124522.jpg,p_20250602-124522.jpg,41.22,41.74
20250602-124537,c_20250602-124537.jpg,p_20250602-124537.jpg,55.65,41.74
20250602-124553,c_20250602-124553.jpg,p_20250602-124553.jpg,55.65,41.74
20250602-124609,c_20250602-124609.jpg,p_20250602-124609.jpg,34.70,26.00
20250602-124625,c_20250602-124625.jpg,p_20250602-124625.jpg,55.65,41.74
20250602-124641,c_20250602-124641.jpg,p_20250602-124641.jpg,24.09,41.30
20250602-124656,c_20250602-124656.jpg,p_20250602-124656.jpg,37.65,37.65
20250602-124712,c_20250602-124712.jpg,p_20250602-124712.jpg,40.35,39.30
20250602-124728,c_20250602-124728.jpg,p_20250602-124728.jpg,55.65,41.74
20250602-124744,c_20250602-124744.jpg,p_20250602-124744.jpg,50.87,37.83
20250602-124759,c_20250602-124759.jpg,p_20250602-124759.jpg,25.39,22.35
20250602-124815,c_20250602-124815.jpg,p_20250602-124815.jpg,4.87,3.91
